Protocollo,Longitude,Latitude,DataOraIncidente,Municipio
5765830,12.5947,41.858,2022-01-01 18:00:00,Municipio VI
5765830,12.5947,41.858,2022-01-01 18:00:00,Municipio VI
5765830,12.5947,41.858,2022-01-01 18:00:00,Municipio VI
5765830,12.5947,41.858,2022-01-01 18:00:00,Municipio VI
5765831,12.6809,41.8629,2022-01-02 05:50:00,Municipio VI
5765831,12.6809,41.8629,2022-01-02 05:50:00,Municipio VI
5765831,12.6809,41.8629,2022-01-02 05:50:00,Municipio VI
5765832,12.4713,41.8573,2022-01-01 13:15:00,Municipio VIII
5765832,12.4713,41.8573,2022-01-01 13:15:00,Municipio VIII
5765836,12.6226,41.8468,2022-01-02 13:15:00,Municipio VI
5765843,12.7007,41.8434,2022-01-02 18:15:00,Municipio VI
5765843,12.7007,41.8434,2022-01-02 18:15:00,Municipio VI
5765843,12.7007,41.8434,2022-01-02 18:15:00,Municipio VI
5765848,12.4851,41.8579,2022-01-02 00:30:00,Municipio VIII
5765848,12.4851,41.8579,2022-01-02 00:30:00,Municipio VIII
5765848,12.4851,41.8579,2022-01-02 00:30:00,Municipio VIII
5765848,12.4851,41.8579,2022-01-02 00:30:00,Municipio VIII
5765882,12.4907,41.902,2022-01-01 02:00:00,Municipio I
5765882,12.4907,41.902,2022-01-01 02:00:00,Municipio I
5765882,12.4907,41.902,2022-01-01 02:00:00,Municipio I
5765882,12.4907,41.902,2022-01-01 02:00:00,Municipio I
5765882,12.4907,41.902,2022-01-01 02:00:00,Municipio I
5765885,12.4904,41.8674,2022-01-03 07:00:00,Municipio VIII
5765885,12.4904,41.8674,2022-01-03 07:00:00,Municipio VIII
5765902,12.5118,41.8904,2022-01-01 17:50:00,Municipio I
5765902,12.5118,41.8904,2022-01-01 17:50:00,Municipio I
5765924,12.4804,41.8889,2022-01-01 15:30:00,Municipio I
5765924,12.4804,41.8889,2022-01-01 15:30:00,Municipio I
5765924,12.4804,41.8889,2022-01-01 15:30:00,Municipio I
5765924,12.4804,41.8889,2022-01-01 15:30:00,Municipio I
5765924,12.4804,41.8889,2022-01-01 15:30:00,Municipio I
5765931,12.5767,41.8873,2022-01-03 03:30:00,Municipio V
5765931,12.5767,41.8873,2022-01-03 03:30:00,Municipio V
