,Protocollo,Longitude,Latitude,NaturaIncidente,DataOraIncidente,CondizioneAtmosferica,Municipio
83,4733353,12.4773,41.95,,2020-01-10,Sereno,Municipio XV
84,4733353,12.4773,41.95,,2020-01-10,Sereno,Municipio XV
85,4733353,12.4773,41.95,,2020-01-10,Sereno,Municipio XV
86,4733366,12.4819,41.8763,C8,2020-01-10,Sereno,Municipio I
87,4733366,12.4819,41.8763,C8,2020-01-10,Sereno,Municipio I
88,4733367,12.409,41.9094,C3,2020-01-10,Sereno,Municipio XIV
89,4733367,12.409,41.9094,C3,2020-01-10,Sereno,Municipio XIV
90,4733370,12.4589,41.8758,C3,2020-01-10,Sereno,Municipio XII
91,4733370,12.4589,41.8758,C3,2020-01-10,Sereno,Municipio XII
92,4733388,12.4773,41.8905,C3,2020-01-10,Sereno,Municipio I
93,4733388,12.4773,41.8905,C3,2020-01-10,Sereno,Municipio I
94,4733399,12.5089,41.8933,C5,2020-01-10,Sereno,Municipio I
95,4733399,12.5089,41.8933,C5,2020-01-10,Sereno,Municipio I
96,4733419,12.4724,41.9006,C2,2020-01-10,Sereno,Municipio I
97,4733419,12.4724,41.9006,C2,2020-01-10,Sereno,Municipio I
98,4733439,12.4822,41.8032,C5,2020-01-10,Sereno,Municipio IX
99,4733449,12.4963,41.9005,C8,2020-01-10,Sereno,Municipio I
100,4733449,12.4963,41.9005,C8,2020-01-10,Sereno,Municipio I
101,4733449,12.4963,41.9005,C8,2020-01-10,Sereno,Municipio I
102,4733449,12.4963,41.9005,C8,2020-01-10,Sereno,Municipio I
103,4733449,12.4963,41.9005,C8,2020-01-10,Sereno,Municipio I
104,4733449,12.4963,41.9005,C8,2020-01-10,Sereno,Municipio I
105,4733474,12.2988,41.721,C4,2020-01-10,Sereno,Municipio X
106,4733474,12.2988,41.721,C4,2020-01-10,Sereno,Municipio X
107,4733474,12.2988,41.721,C4,2020-01-10,Sereno,Municipio X
108,4733474,12.2988,41.721,C4,2020-01-10,Sereno,Municipio X
109,4733481,12.3326,41.7834,C8,2020-01-10,Sereno,Municipio X
110,4733481,12.3326,41.7834,C8,2020-01-10,Sereno,Municipio X
111,4733481,12.3326,41.7834,C8,2020-01-10,Sereno,Municipio X
112,4733481,12.3326,41.7834,C8,2020-01-10,Sereno,Municipio X
113,4733481,12.3326,41.7834,C8,2020-01-10,Sereno,Municipio X
114,4733481,12.3326,41.7834,C8,2020-01-10,Sereno,Municipio X
115,4733515,12.5683,41.8953,C5,2020-01-10,Sereno,Municipio V
116,4733515,12.5683,41.8953,C5,2020-01-10,Sereno,Municipio V
117,4733520,12.5002,41.9182,C1,2020-01-10,Sereno,Municipio II
118,4733520,12.5002,41.9182,C1,2020-01-10,Sereno,Municipio II
119,4733552,12.4638,41.9015,,2020-01-10,Sereno,Municipio I
120,4733552,12.4638,41.9015,,2020-01-10,Sereno,Municipio I
121,4733552,12.4638,41.9015,,2020-01-10,Sereno,Municipio I
122,4733552,12.4638,41.9015,,2020-01-10,Sereno,Municipio I
123,4733698,12.2829,41.729,,2020-01-10,Sereno,Municipio X
124,4733698,12.2829,41.729,,2020-01-10,Sereno,Municipio X
125,4733698,12.2829,41.729,,2020-01-10,Sereno,Municipio X
126,4733724,12.5052,41.9245,C8,2020-01-10,Sereno,Municipio II
127,4733724,12.5052,41.9245,C8,2020-01-10,Sereno,Municipio II
128,4733724,12.5052,41.9245,C8,2020-01-10,Sereno,Municipio II
129,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
130,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
131,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
132,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
133,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
134,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
135,4733727,12.5728,41.9579,C4,2020-01-10,Sereno,Municipio III
136,4733745,12.5014,41.9096,C4,2020-01-10,Sereno,Municipio II
137,4733745,12.5014,41.9096,C4,2020-01-10,Sereno,Municipio II
138,4733745,12.5014,41.9096,C4,2020-01-10,Sereno,Municipio II
139,4733745,12.5014,41.9096,C4,2020-01-10,Sereno,Municipio II
140,4733745,12.5014,41.9096,C4,2020-01-10,Sereno,Municipio II
141,4733759,12.469,41.8295,C2,2020-01-10,Sereno,Municipio IX
142,4733759,12.469,41.8295,C2,2020-01-10,Sereno,Municipio IX
143,4733759,12.469,41.8295,C2,2020-01-10,Sereno,Municipio IX
144,4733770,12.4257,41.9019,C2,2020-01-10,Sereno,Municipio XIII
145,4733770,12.4257,41.9019,C2,2020-01-10,Sereno,Municipio XIII
146,4733793,12.462,41.9046,C2,2020-01-10,Sereno,Municipio I
147,4733793,12.462,41.9046,C2,2020-01-10,Sereno,Municipio I
148,4733793,12.462,41.9046,C2,2020-01-10,Sereno,Municipio I
149,4733793,12.462,41.9046,C2,2020-01-10,Sereno,Municipio I
150,4733793,12.462,41.9046,C2,2020-01-10,Sereno,Municipio I
151,4733802,12.3512,41.7675,C2,2020-01-10,Sereno,Municipio X
152,4733802,12.3512,41.7675,C2,2020-01-10,Sereno,Municipio X
153,4733802,12.3512,41.7675,C2,2020-01-10,Sereno,Municipio X
154,4733802,12.3512,41.7675,C2,2020-01-10,Sereno,Municipio X
155,4733823,12.4255,41.9037,C4,2020-01-10,Sereno,Municipio XIII
156,4733823,12.4255,41.9037,C4,2020-01-10,Sereno,Municipio XIII
157,4733901,12.5861,41.7171,C5,2020-01-10,Sereno,Municipio IX
158,4734002,12.4447,41.8434,C6,2020-01-10,Sereno,Municipio XI
159,4734013,12.4594,41.8436,C1,2020-01-10,Sereno,Municipio XI
160,4734013,12.4594,41.8436,C1,2020-01-10,Sereno,Municipio XI
161,4734029,12.439,41.8435,C5,2020-01-10,Sereno,Municipio XI
162,4734293,12.6235,41.8925,C2,2020-01-10,Sereno,Municipio VI
163,4734293,12.6235,41.8925,C2,2020-01-10,Sereno,Municipio VI
164,4734293,12.6235,41.8925,C2,2020-01-10,Sereno,Municipio VI
165,4734294,12.6297,41.8674,C5,2020-01-10,Sereno,Municipio VI
166,4734294,12.6297,41.8674,C5,2020-01-10,Sereno,Municipio VI
167,4734294,12.6297,41.8674,C5,2020-01-10,Sereno,Municipio VI
168,4734299,12.6297,41.8674,C5,2020-01-10,Sereno,Municipio VI
169,4734302,12.5116,41.8323,,2020-01-10,Sereno,Municipio VIII
170,4734302,12.5116,41.8323,,2020-01-10,Sereno,Municipio VIII
171,4734302,12.5116,41.8323,,2020-01-10,Sereno,Municipio VIII
172,4734304,12.5924,41.8941,C8,2020-01-10,Sereno,Municipio V
173,4734304,12.5924,41.8941,C8,2020-01-10,Sereno,Municipio V
174,4734314,12.4196,41.8317,C4,2020-01-10,Sereno,Municipio XI
175,4734314,12.4196,41.8317,C4,2020-01-10,Sereno,Municipio XI
176,4734314,12.4196,41.8317,C4,2020-01-10,Sereno,Municipio XI
177,4734314,12.4196,41.8317,C4,2020-01-10,Sereno,Municipio XI
178,4734316,12.4718,41.9419,C5,2020-01-10,Sereno,Municipio XV
179,4734316,12.4718,41.9419,C5,2020-01-10,Sereno,Municipio XV
180,4734330,12.4674,42.0281,C2,2020-01-10,Sereno,Municipio XV
181,4734330,12.4674,42.0281,C2,2020-01-10,Sereno,Municipio XV
182,4734330,12.4674,42.0281,C2,2020-01-10,Sereno,Municipio XV
183,4734344,12.3333,42.0691,C1,2020-01-10,Sereno,Municipio XV
184,4734344,12.3333,42.0691,C1,2020-01-10,Sereno,Municipio XV
185,4734345,12.565,41.8595,C8,2020-01-10,Nuvoloso,Municipio VII
186,4734345,12.565,41.8595,C8,2020-01-10,Nuvoloso,Municipio VII
187,4734345,12.565,41.8595,C8,2020-01-10,Nuvoloso,Municipio VII
188,4734345,12.565,41.8595,C8,2020-01-10,Nuvoloso,Municipio VII
189,4734351,12.5202,41.8767,C8,2020-01-10,Sereno,Municipio VII
190,4734351,12.5202,41.8767,C8,2020-01-10,Sereno,Municipio VII
191,4734351,12.5202,41.8767,C8,2020-01-10,Sereno,Municipio VII
192,4734354,12.417,41.9199,C8,2020-01-10,Sereno,Municipio XIV
193,4734354,12.417,41.9199,C8,2020-01-10,Sereno,Municipio XIV
194,4734355,12.5624,41.8976,C5,2020-01-10,Sereno,Municipio V
195,4734359,12.5542,41.8568,C8,2020-01-10,Sereno,Municipio VII
196,4734359,12.5542,41.8568,C8,2020-01-10,Sereno,Municipio VII
197,4734359,12.5542,41.8568,C8,2020-01-10,Sereno,Municipio VII
198,4734361,12.5378,41.8991,C4,2020-01-10,Sereno,Municipio IV
199,4734361,12.5378,41.8991,C4,2020-01-10,Sereno,Municipio IV
200,4734361,12.5378,41.8991,C4,2020-01-10,Sereno,Municipio IV
201,4734361,12.5378,41.8991,C4,2020-01-10,Sereno,Municipio IV
202,4734361,12.5378,41.8991,C4,2020-01-10,Sereno,Municipio IV
203,4734362,12.5514,41.838,C2,2020-01-10,Sereno,Municipio VII
204,4734362,12.5514,41.838,C2,2020-01-10,Sereno,Municipio VII
205,4734362,12.5514,41.838,C2,2020-01-10,Sereno,Municipio VII
206,4734362,12.5514,41.838,C2,2020-01-10,Sereno,Municipio VII
207,4734362,12.5514,41.838,C2,2020-01-10,Sereno,Municipio VII
208,4734364,12.5832,41.852,C2,2020-01-10,Sereno,Municipio VII
209,4734364,12.5832,41.852,C2,2020-01-10,Sereno,Municipio VII
210,4734364,12.5832,41.852,C2,2020-01-10,Sereno,Municipio VII
211,4734376,12.556,41.9086,C2,2020-01-10,Sereno,Municipio IV
212,4734376,12.556,41.9086,C2,2020-01-10,Sereno,Municipio IV
213,4734377,12.4953,41.9071,C5,2020-01-10,Sereno,Municipio I
214,4734380,12.4184,41.9139,C4,2020-01-10,Sereno,Municipio XIV
215,4734380,12.4184,41.9139,C4,2020-01-10,Sereno,Municipio XIV
216,4734383,12.2613,41.7392,C8,2020-01-10,Sereno,Municipio X
217,4734383,12.2613,41.7392,C8,2020-01-10,Sereno,Municipio X
218,4734383,12.2613,41.7392,C8,2020-01-10,Sereno,Municipio X
219,4734385,12.4125,41.9571,C2,2020-01-10,Sereno,Municipio XIV
220,4734385,12.4125,41.9571,C2,2020-01-10,Sereno,Municipio XIV
221,4734386,12.5322,41.9161,C8,2020-01-10,Sereno,Municipio IV
222,4734386,12.5322,41.9161,C8,2020-01-10,Sereno,Municipio IV
223,4734386,12.5322,41.9161,C8,2020-01-10,Sereno,Municipio IV
224,4734400,12.4563,41.9092,C3,2020-01-10,Sereno,Municipio I
225,4734400,12.4563,41.9092,C3,2020-01-10,Sereno,Municipio I
226,4734400,12.4563,41.9092,C3,2020-01-10,Sereno,Municipio I
227,4734404,12.2989,41.7557,C8,2020-01-10,Sereno,Municipio X
228,4734404,12.2989,41.7557,C8,2020-01-10,Sereno,Municipio X
229,4734404,12.2989,41.7557,C8,2020-01-10,Sereno,Municipio X
230,4734404,12.2989,41.7557,C8,2020-01-10,Sereno,Municipio X
231,4734404,12.2989,41.7557,C8,2020-01-10,Sereno,Municipio X
232,4734412,12.5336,41.8823,C3,2020-01-10,Sereno,Municipio V
233,4734412,12.5336,41.8823,C3,2020-01-10,Sereno,Municipio V
234,4734412,12.5336,41.8823,C3,2020-01-10,Sereno,Municipio V
235,4734413,12.5606,41.8988,,2020-01-10,Sereno,Municipio V
236,4734413,12.5606,41.8988,,2020-01-10,Sereno,Municipio V
237,4734413,12.5606,41.8988,,2020-01-10,Sereno,Municipio V
238,4734413,12.5606,41.8988,,2020-01-10,Sereno,Municipio V
239,4734419,12.3877,41.9006,C1,2020-01-10,Sereno,Municipio XIII
240,4734419,12.3877,41.9006,C1,2020-01-10,Sereno,Municipio XIII
241,4734424,12.2687,41.7386,C8,2020-01-10,Sereno,Municipio X
242,4734424,12.2687,41.7386,C8,2020-01-10,Sereno,Municipio X
243,4734424,12.2687,41.7386,C8,2020-01-10,Sereno,Municipio X
244,4734431,12.528,41.9111,C2,2020-01-10,Sereno,Municipio II
245,4734431,12.528,41.9111,C2,2020-01-10,Sereno,Municipio II
246,4734431,12.528,41.9111,C2,2020-01-10,Sereno,Municipio II
247,4734431,12.528,41.9111,C2,2020-01-10,Sereno,Municipio II
248,4734431,12.528,41.9111,C2,2020-01-10,Sereno,Municipio II
249,4734433,12.4612,41.8884,C2,2020-01-10,Sereno,Municipio XIII
250,4734433,12.4612,41.8884,C2,2020-01-10,Sereno,Municipio XIII
251,4734433,12.4612,41.8884,C2,2020-01-10,Sereno,Municipio XIII
252,4734454,12.3735,41.6876,C8,2020-01-10,Sereno,Municipio X
253,4734454,12.3735,41.6876,C8,2020-01-10,Sereno,Municipio X
254,4734454,12.3735,41.6876,C8,2020-01-10,Sereno,Municipio X
255,4734454,12.3735,41.6876,C8,2020-01-10,Sereno,Municipio X
256,4734467,12.5087,41.9113,C5,2020-01-10,Sereno,Municipio II
257,4734476,12.5237,41.9153,C2,2020-01-10,Sereno,Municipio II
258,4734476,12.5237,41.9153,C2,2020-01-10,Sereno,Municipio II
259,4734489,12.5014,41.9096,C5,2020-01-10,Sereno,Municipio II
260,4734493,12.5133,41.9105,C8,2020-01-10,Sereno,Municipio II
261,4734493,12.5133,41.9105,C8,2020-01-10,Sereno,Municipio II
262,4734493,12.5133,41.9105,C8,2020-01-10,Sereno,Municipio II
263,4734537,12.4695,41.914,C8,2020-01-10,Sereno,Municipio I
264,4734537,12.4695,41.914,C8,2020-01-10,Sereno,Municipio I
265,4734579,12.5485,41.8667,C8,2020-01-10,Sereno,Municipio V
266,4734579,12.5485,41.8667,C8,2020-01-10,Sereno,Municipio V
267,4734580,12.4666,41.9106,C8,2020-01-10,Sereno,Municipio I
268,4734580,12.4666,41.9106,C8,2020-01-10,Sereno,Municipio I
269,4734644,12.4223,41.9413,C1,2020-01-10,Sereno,Municipio XIV
270,4734644,12.4223,41.9413,C1,2020-01-10,Sereno,Municipio XIV
271,4734654,12.4496,41.8725,C2,2020-01-10,Sereno,Municipio XII
272,4734654,12.4496,41.8725,C2,2020-01-10,Sereno,Municipio XII
273,4734669,,,C1,2020-01-10,,
274,4734710,12.3589,41.7765,C8,2020-01-10,Sereno,Municipio X
275,4734710,12.3589,41.7765,C8,2020-01-10,Sereno,Municipio X
276,4734713,12.4979,41.895,C3,2020-01-10,Sereno,Municipio I
277,4734713,12.4979,41.895,C3,2020-01-10,Sereno,Municipio I
278,4734756,12.5645,41.8748,C8,2020-01-10,Sereno,Municipio V
279,4734756,12.5645,41.8748,C8,2020-01-10,Sereno,Municipio V
280,4734797,12.4694,41.9163,C2,2020-01-10,Sereno,Municipio I
281,4734797,12.4694,41.9163,C2,2020-01-10,Sereno,Municipio I
282,4734797,12.4694,41.9163,C2,2020-01-10,Sereno,Municipio I
283,4734835,12.3987,41.8791,C4,2020-01-10,Sereno,Municipio XII
284,4734835,12.3987,41.8791,C4,2020-01-10,Sereno,Municipio XII
285,4734835,12.3987,41.8791,C4,2020-01-10,Sereno,Municipio XII
286,4734835,12.3987,41.8791,C4,2020-01-10,Sereno,Municipio XII
287,4734835,12.3987,41.8791,C4,2020-01-10,Sereno,Municipio XII
288,4734835,12.3987,41.8791,C4,2020-01-10,Sereno,Municipio XII
289,4734853,12.448,41.8785,C1,2020-01-10,Sereno,Municipio XII
290,4734853,12.448,41.8785,C1,2020-01-10,Sereno,Municipio XII
291,4734854,12.4239,41.8743,C2,2020-01-10,Sole radente,Municipio XII
292,4734854,12.4239,41.8743,C2,2020-01-10,Sole radente,Municipio XII
293,4734854,12.4239,41.8743,C2,2020-01-10,Sole radente,Municipio XII
294,4734854,12.4239,41.8743,C2,2020-01-10,Sole radente,Municipio XII
295,4734862,12.459,41.8874,C2,2020-01-10,Sereno,Municipio XII
296,4734862,12.459,41.8874,C2,2020-01-10,Sereno,Municipio XII
297,4734862,12.459,41.8874,C2,2020-01-10,Sereno,Municipio XII
298,4734897,12.4711,41.8335,C2,2020-01-10,Sereno,Municipio IX
299,4734897,12.4711,41.8335,C2,2020-01-10,Sereno,Municipio IX
300,4734897,12.4711,41.8335,C2,2020-01-10,Sereno,Municipio IX
301,4734923,12.5202,41.8857,C3,2020-01-10,Sereno,Municipio VII
302,4734923,12.5202,41.8857,C3,2020-01-10,Sereno,Municipio VII
303,4734927,12.5794,41.8963,,2020-01-10,Sereno,Municipio V
304,4734927,12.5794,41.8963,,2020-01-10,Sereno,Municipio V
305,4734927,12.5794,41.8963,,2020-01-10,Sereno,Municipio V
306,4734927,12.5794,41.8963,,2020-01-10,Sereno,Municipio V
307,4734927,12.5794,41.8963,,2020-01-10,Sereno,Municipio V
308,4735006,12.4588,41.9189,C2,2020-01-10,Sereno,Municipio I
309,4735006,12.4588,41.9189,C2,2020-01-10,Sereno,Municipio I
310,4735006,12.4588,41.9189,C2,2020-01-10,Sereno,Municipio I
311,4735041,12.4698,41.9053,C5,2020-01-10,Sereno,Municipio I
312,4735080,12.4644,41.9143,C1,2020-01-10,Sereno,Municipio I
313,4735080,12.4644,41.9143,C1,2020-01-10,Sereno,Municipio I
314,4735093,12.3847,41.9149,C2,2020-01-10,Sereno,Municipio XIII
315,4735093,12.3847,41.9149,C2,2020-01-10,Sereno,Municipio XIII
316,4735101,12.489,41.8842,C2,2020-01-10,Sereno,Municipio I
317,4735101,12.489,41.8842,C2,2020-01-10,Sereno,Municipio I
318,4735188,12.4957,41.9033,C1,2020-01-10,Sereno,Municipio I
319,4735188,12.4957,41.9033,C1,2020-01-10,Sereno,Municipio I
320,4735237,12.4956,41.8876,C5,2020-01-10,Sereno,Municipio I
321,4735237,12.4956,41.8876,C5,2020-01-10,Sereno,Municipio I
322,4735329,12.3575,41.7832,C5,2020-01-10,Sereno,Municipio X
323,4735329,12.3575,41.7832,C5,2020-01-10,Sereno,Municipio X
324,4735329,12.3575,41.7832,C5,2020-01-10,Sereno,Municipio X
325,4735339,12.3575,41.7832,C5,2020-01-10,Sereno,Municipio X
326,4735339,12.3575,41.7832,C5,2020-01-10,Sereno,Municipio X
327,4735489,12.4921,41.7918,C3,2020-01-10,Sereno,Municipio IX
328,4735489,12.4921,41.7918,C3,2020-01-10,Sereno,Municipio IX
329,4735559,12.4899,41.9074,C4,2020-01-10,Sereno,Municipio I
330,4735559,12.4899,41.9074,C4,2020-01-10,Sereno,Municipio I
331,4735599,12.6827,41.8626,C2,2020-01-10,Sereno,Municipio VI
332,4735599,12.6827,41.8626,C2,2020-01-10,Sereno,Municipio VI
333,4735601,12.6295,41.8733,C2,2020-01-10,Sereno,Municipio VI
334,4735601,12.6295,41.8733,C2,2020-01-10,Sereno,Municipio VI
335,4735602,12.4809,41.8568,C8,2020-01-10,Sereno,Municipio VIII
336,4735602,12.4809,41.8568,C8,2020-01-10,Sereno,Municipio VIII
337,4735602,12.4809,41.8568,C8,2020-01-10,Sereno,Municipio VIII
338,4735602,12.4809,41.8568,C8,2020-01-10,Sereno,Municipio VIII
339,4735603,12.6842,41.9059,C4,2020-01-10,Sereno,Municipio VI
340,4735603,12.6842,41.9059,C4,2020-01-10,Sereno,Municipio VI
341,4735603,12.6842,41.9059,C4,2020-01-10,Sereno,Municipio VI
342,4735604,12.5322,41.8696,C8,2020-01-10,Sereno,Municipio VII
343,4735604,12.5322,41.8696,C8,2020-01-10,Sereno,Municipio VII
344,4735604,12.5322,41.8696,C8,2020-01-10,Sereno,Municipio VII
345,4735608,12.6281,41.8764,C2,2020-01-10,Sereno,Municipio VI
346,4735608,12.6281,41.8764,C2,2020-01-10,Sereno,Municipio VI
347,4735608,12.6281,41.8764,C2,2020-01-10,Sereno,Municipio VI
348,4735608,12.6281,41.8764,C2,2020-01-10,Sereno,Municipio VI
349,4735611,12.5541,41.8611,C2,2020-01-10,Sereno,Municipio VII
350,4735611,12.5541,41.8611,C2,2020-01-10,Sereno,Municipio VII
351,4735611,12.5541,41.8611,C2,2020-01-10,Sereno,Municipio VII
352,4735612,12.5176,41.8718,,2020-01-10,Sereno,Municipio VII
353,4735612,12.5176,41.8718,,2020-01-10,Sereno,Municipio VII
354,4735612,12.5176,41.8718,,2020-01-10,Sereno,Municipio VII
355,4735612,12.5176,41.8718,,2020-01-10,Sereno,Municipio VII
356,4735631,12.4832,41.8761,C8,2020-01-10,Sereno,Municipio I
357,4735631,12.4832,41.8761,C8,2020-01-10,Sereno,Municipio I
358,4735631,12.4832,41.8761,C8,2020-01-10,Sereno,Municipio I
359,4735631,12.4832,41.8761,C8,2020-01-10,Sereno,Municipio I
360,4735633,12.4462,41.9591,C8,2020-01-10,Sereno,Municipio XV
361,4735633,12.4462,41.9591,C8,2020-01-10,Sereno,Municipio XV
362,4735638,12.4658,41.866,C2,2020-01-10,Sereno,Municipio XI
363,4735638,12.4658,41.866,C2,2020-01-10,Sereno,Municipio XI
364,4735641,12.4789,41.9804,C8,2020-01-10,Sereno,Municipio XV
365,4735641,12.4789,41.9804,C8,2020-01-10,Sereno,Municipio XV
366,4735646,12.4645,41.8247,C4,2020-01-10,Sereno,Municipio IX
367,4735646,12.4645,41.8247,C4,2020-01-10,Sereno,Municipio IX
368,4735646,12.4645,41.8247,C4,2020-01-10,Sereno,Municipio IX
369,4735646,12.4645,41.8247,C4,2020-01-10,Sereno,Municipio IX
370,4735650,12.4631,41.8618,C1,2020-01-10,Sereno,Municipio XI
371,4735650,12.4631,41.8618,C1,2020-01-10,Sereno,Municipio XI
372,4735657,12.4587,41.8225,C4,2020-01-10,Sereno,Municipio IX
