PC1,PC2,Deceduto,TipoVeicolo,Latitude,Longitude
-1.0460425237228774,-0.21009859682434093,0.0,Autovettura,41.8942,12.511
-1.0460425237228774,-0.21009859682434093,0.0,Autocarro,41.8942,12.511
-1.4318900119323517,0.4408040955778628,0.0,Autocarro,41.8837,12.5607
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8837,12.5607
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8837,12.5607
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8837,12.5607
-0.29503826272768263,1.2105673162270076,0.0,Autocarro,41.8904,12.4679
-0.29503826272768263,1.2105673162270076,0.0,Autocarro,41.8904,12.4679
-0.29503826272768263,1.2105673162270076,0.0,Autovettura,41.8904,12.4679
1.7595676554890907,0.21196089681632957,0.0,Motociclo,41.8427,12.6423
0.5044541078766868,0.5110009131939567,0.0,Autovettura,41.8662,12.6538
0.5044541078766868,0.5110009131939567,0.0,Autovettura,41.8662,12.6538
0.5044541078766868,0.5110009131939567,0.0,Autovettura,41.8662,12.6538
-0.19995947875016012,0.04479150850906246,0.0,Autovettura,41.8662,12.6538
-0.41051272667259087,0.8014668055231046,0.0,Autovettura,41.8765,12.6724
-0.41051272667259087,0.8014668055231046,0.0,Autovettura,41.8765,12.6724
-0.41051272667259087,0.8014668055231046,0.0,Autovettura,41.8765,12.6724
-0.4937401629528613,0.2473107739398879,0.0,Autovettura,41.8658,12.6571
-0.4937401629528613,0.2473107739398879,0.0,Autovettura,41.8658,12.6571
1.8794318536812848,0.3658164516163082,0.0,Autovettura,41.9171,12.6839
1.8794318536812848,0.3658164516163082,0.0,Autovettura,41.9171,12.6839
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8468,12.6226
-0.6092146268977697,-0.16178973676401462,0.0,Autovettura,41.8468,12.6226
3.0909667068960895,-1.6050724538743402,0.0,Autovettura,41.8679,12.6243
3.0909667068960895,-1.6050724538743402,0.0,Autovettura,41.8679,12.6243
3.0909667068960895,-1.6050724538743402,0.0,Autovettura,41.8679,12.6243
1.974510637658807,-0.799959356101637,0.0,Autovettura,41.8697,12.468
1.974510637658807,-0.799959356101637,0.0,Autovettura,41.8697,12.468
1.2700970510319602,-1.2661687607865315,0.0,Motociclo,41.8697,12.468
-1.2797787860755205,0.4496041294985285,0.0,Autovettura,41.9106,12.5723
-1.2797787860755205,0.4496041294985285,0.0,Autocarro,41.9106,12.5723
-1.2797787860755205,0.4496041294985285,0.0,Autocarro,41.9106,12.5723
-1.2797787860755205,0.4496041294985285,0.0,Autovettura,41.9106,12.5723
1.6807299534561053,-0.597440090670811,0.0,Autovettura,41.907,12.6911
1.6807299534561053,-0.597440090670811,0.0,Autovettura,41.907,12.6911
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8626,12.6212
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8626,12.6212
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8626,12.6212
-1.4318900119323517,0.4408040955778628,0.0,Autovettura,41.8626,12.6212
0.5276371223068991,0.6079734838851294,0.0,Autovettura,41.8686,12.4976
-0.024665238463116426,0.1505641131209005,0.0,Autocarro,41.942,12.4708
0.6797483481637302,0.6167735178057951,0.0,Autovettura,41.942,12.4708
-0.4937401629528613,0.2473107739398879,0.0,Autocarro,41.9012,12.4387
-0.4937401629528613,0.2473107739398879,0.0,Autovettura,41.9012,12.4387
0.7059433425646924,-0.003646292249598764,0.0,Autovettura,41.8691,12.4626
0.7059433425646924,-0.003646292249598764,0.0,Autovettura,41.8691,12.4626
0.7059433425646924,-0.003646292249598764,0.0,Motociclo,41.8691,12.4626
-0.9628150874426066,0.3440574347588757,0.0,Autovettura,41.9372,12.4605
-0.9628150874426066,0.3440574347588757,0.0,Autovettura,41.9372,12.4605
-0.9628150874426066,0.3440574347588757,0.0,Autovettura,41.9372,12.4605
1.7962044174010139,-0.18833957996690856,0.0,Autovettura,41.8271,12.5056
1.7962044174010139,-0.18833957996690856,0.0,Motociclo,41.8271,12.5056
1.4426039568561766,0.3175075915559816,0.0,Autovettura,41.9494,12.5142
1.4426039568561766,0.3175075915559816,0.0,Motociclo,41.9494,12.5142
-1.0460425237228774,-0.21009859682434093,0.0,Autovettura,41.8949,12.4765
-1.0460425237228774,-0.21009859682434093,0.0,Autovettura,41.8949,12.4765
-2.839114785401586,0.7310440780348255,0.0,Autocarro,41.8862,12.3737
-2.839114785401586,0.7310440780348255,0.0,Autocarro,41.8862,12.3737
-2.839114785401586,0.7310440780348255,0.0,Autocarro,41.8862,12.3737
-2.839114785401586,0.7310440780348255,0.0,Autocarro,41.8862,12.3737
-2.839114785401586,0.7310440780348255,0.0,Autocarro,41.8862,12.3737
-2.839114785401586,0.7310440780348255,0.0,Autocarro,41.8862,12.3737
1.4426039568561766,0.3175075915559816,0.0,Autovettura,41.8522,12.4766
1.4426039568561766,0.3175075915559816,0.0,Autovettura,41.8522,12.4766
-2.839114785401586,0.7310440780348255,0.0,Autovettura,41.8616,12.5484
-2.839114785401586,0.7310440780348255,0.0,Autovettura,41.8616,12.5484
-2.839114785401586,0.7310440780348255,0.0,Autovettura,41.8616,12.5484
-2.839114785401586,0.7310440780348255,0.0,Autovettura,41.8616,12.5484
-2.839114785401586,0.7310440780348255,0.0,Autovettura,41.8616,12.5484
