,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
16429,Autovettura,0,0,2,0,0.0,41.9075,12.4627,2019-07-09 10:40:00,2,2,1
16428,Autovettura,0,0,2,0,0.0,41.8887,12.5366,2019-07-10 09:35:00,1,2,0
16427,Autovettura,0,0,2,0,0.0,41.8887,12.5366,2019-07-10 09:35:00,1,2,0
16426,Autovettura,0,0,2,0,0.0,41.8942,12.5906,2019-07-09 18:30:00,1,2,0
16425,Autovettura,0,0,2,0,0.0,41.8942,12.5906,2019-07-09 18:30:00,1,2,0
16448,Motociclo,0,0,2,0,0.0,41.8995,12.4363,2019-07-09 14:54:00,1,2,0
16424,Autovettura,2,0,1,0,0.0,41.9506,12.5063,2019-07-09 19:30:00,1,2,0
16449,Autovettura,1,0,2,0,0.0,41.8045,12.4548,2019-07-09 17:31:00,1,3,1
16451,Autovettura,1,0,2,0,0.0,41.8045,12.4548,2019-07-09 17:31:00,1,3,0
16474,Autovettura,1,0,1,0,0.0,41.7929,12.4806,2019-07-09 16:20:00,1,1,0
16473,Autocarro,1,0,2,0,0.0,41.877,12.4762,2019-07-09 20:30:00,1,1,0
16472,Autocarro,1,0,2,0,0.0,41.877,12.4762,2019-07-09 20:30:00,1,1,0
16471,Autovettura,1,0,2,0,0.0,41.877,12.4762,2019-07-09 20:30:00,1,1,1
16470,Autocarro,0,0,1,0,0.0,41.8777,12.4242,2019-07-09 10:15:00,1,2,0
16469,Autovettura,1,0,1,0,0.0,41.9115,12.4927,2019-07-09 13:40:00,1,1,1
16468,Motociclo,1,0,1,0,0.0,41.9115,12.4927,2019-07-09 13:40:00,1,1,1
16467,Motociclo,2,0,0,0,0.0,41.8844,12.4201,2019-07-08 21:55:00,1,1,0
16466,Autovettura,2,0,0,0,0.0,41.8844,12.4201,2019-07-08 21:55:00,1,1,1
16465,Autocarro,1,0,1,0,0.0,41.8985,12.4427,2019-07-10 09:10:00,1,3,0
16464,Motociclo,1,0,1,0,0.0,41.8985,12.4427,2019-07-10 09:10:00,1,3,0
16463,Motociclo,1,0,2,0,0.0,41.9153,12.4964,2019-07-09 16:20:00,1,2,1
16462,Autovettura,1,0,2,0,0.0,41.9153,12.4964,2019-07-09 16:20:00,1,2,1
16461,Autovettura,1,0,2,0,0.0,41.9153,12.4964,2019-07-09 16:20:00,1,2,1
16460,Autovettura,0,0,2,0,0.0,41.9222,12.5151,2019-07-09 14:30:00,1,2,1
16459,Autovettura,0,0,2,0,0.0,41.9222,12.5151,2019-07-09 14:30:00,1,2,1
16458,Autovettura,0,0,0,0,0.0,41.8959,12.4298,2019-07-09 16:00:00,1,2,1
16457,Autovettura,0,0,0,0,0.0,41.8959,12.4298,2019-07-09 16:00:00,1,2,1
16456,Motociclo,0,0,1,0,0.0,,,2019-07-09 12:10:00,2,2,1
