,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni
879,Autovettura,0,0,3,0,0.0,41.6396,13.3498,1,2,1
880,Autocarro,0,0,3,0,0.0,41.6396,13.3498,1,2,1
881,Autocarro,0,0,3,0,0.0,41.6396,13.3498,1,2,1
882,Autovettura,0,0,5,0,0.0,41.8645,12.6021,1,2,0
883,Autovettura,0,0,5,0,0.0,41.8645,12.6021,1,2,0
884,Autovettura,0,0,5,0,0.0,41.8645,12.6021,1,2,0
885,Autovettura,0,0,5,0,0.0,41.8645,12.6021,1,2,0
886,Autovettura,0,0,5,0,0.0,41.8645,12.6021,1,2,0
887,Autovettura,1,0,0,0,0.0,41.8601,12.5562,2,1,0
888,Autovettura,0,0,2,0,0.0,41.8917,12.6307,1,1,0
889,Autovettura,0,0,2,0,0.0,41.8917,12.6307,1,1,0
890,Autovettura,1,0,1,0,0.0,41.8669,12.653,1,1,1
891,Autovettura,1,0,1,0,0.0,41.8669,12.653,1,1,1
892,Autovettura,0,0,1,0,0.0,41.8629,12.4743,1,2,1
893,Autovettura,0,0,1,0,0.0,41.8629,12.4743,1,2,0
894,Autovettura,0,0,1,0,0.0,41.8629,12.4743,1,2,1
895,Autovettura,1,0,1,0,0.0,41.8679,12.6402,1,2,1
896,Autovettura,1,0,1,0,0.0,41.8679,12.6402,1,2,0
897,Autovettura,0,0,1,0,0.0,41.9031,12.7087,3,1,1
898,Autovettura,0,0,3,0,0.0,41.8538,12.4363,2,2,0
899,Autovettura,0,0,3,0,0.0,41.8538,12.4363,2,2,0
900,Autovettura,0,0,3,0,0.0,41.8538,12.4363,2,2,0
901,Autovettura,0,0,1,0,0.0,41.867,12.6391,1,2,1
902,Autovettura,0,0,1,0,0.0,41.867,12.6391,1,2,0
903,Autocarro,0,0,2,0,0.0,41.8695,12.5976,1,2,0
904,Autovettura,0,0,2,0,0.0,41.8695,12.5976,1,2,0
905,Autovettura,0,0,1,0,0.0,41.8829,12.6636,1,1,0
906,Autovettura,0,0,4,0,0.0,41.8632,12.464,2,1,0
907,Autovettura,0,0,4,0,0.0,41.8632,12.464,2,1,0
908,Autovettura,0,0,4,0,0.0,41.8632,12.464,2,1,0
909,Autovettura,0,0,4,0,0.0,41.8632,12.464,2,1,0
910,Autovettura,0,0,4,0,0.0,41.8632,12.464,2,1,1
911,Autovettura,0,0,1,0,0.0,41.8763,12.6282,1,2,0
912,Autovettura,0,0,2,0,0.0,41.7883,12.3903,3,2,0
913,Autovettura,0,0,2,0,0.0,41.7883,12.3903,3,2,0
914,Autovettura,0,0,1,0,0.0,41.8303,12.3412,2,1,0
