,TipoVeicolo,NUM_FERITI,NUM_MORTI,NUM_ILLESI,NUM_RISERVATA,Deceduto,Latitude,Longitude,DataOraIncidente,QualitaFondoStradale,IntensitaTraffico,UtilizzoProtezioni,Severity
38945,Autovettura,0,0,1,0,0.0,41.8949,12.5005,2020-10-05 09:40:00,1.0,2,1,1
38935,Autovettura,0,0,3,0,0.0,41.8586,12.5646,2020-10-05 13:40:00,1.0,3,0,1
38922,Autovettura,0,0,6,0,0.0,41.8335,12.4711,2020-10-04 17:10:00,1.0,2,0,1
38921,Autovettura,0,0,3,0,0.0,41.8912,12.5675,2020-10-02 13:40:00,1.0,1,1,1
38920,Autovettura,0,0,3,0,0.0,41.8912,12.5675,2020-10-02 13:40:00,1.0,1,1,1
38897,Autovettura,0,0,2,0,0.0,41.8678,12.5406,2020-10-05 08:40:00,1.0,1,0,1
38898,Autovettura,0,0,2,0,0.0,41.9056,12.5335,2020-10-04 02:50:00,2.0,1,1,1
38899,Autovettura,0,0,2,0,0.0,41.9056,12.5335,2020-10-04 02:50:00,2.0,1,1,1
38900,Autovettura,0,0,2,0,0.0,41.9182,12.52,2020-10-04 20:50:00,1.0,1,1,1
38901,Autovettura,0,0,2,0,0.0,41.9182,12.52,2020-10-04 20:50:00,1.0,1,1,1
38902,Autovettura,0,0,2,0,0.0,41.9182,12.52,2020-10-04 20:50:00,1.0,1,1,1
38903,Motociclo,1,0,1,0,0.0,41.8939,12.3956,2020-10-02 20:45:00,1.0,2,0,1
38904,Autovettura,1,0,1,0,0.0,41.8939,12.3956,2020-10-02 20:45:00,1.0,2,0,1
38905,Autovettura,0,0,2,0,0.0,41.9198,12.5254,2020-10-02 18:25:00,1.0,2,1,1
38906,Motociclo,0,0,2,0,0.0,41.9198,12.5254,2020-10-02 18:25:00,1.0,2,1,1
38907,Autovettura,0,0,1,0,0.0,41.8396,12.5923,2020-10-05 11:22:00,1.0,2,0,1
38908,Autovettura,0,0,4,0,0.0,41.8672,12.6269,2020-10-05 01:00:00,1.0,1,0,1
38909,Autovettura,0,0,4,0,0.0,41.8672,12.6269,2020-10-05 01:00:00,1.0,1,0,1
38910,Autovettura,0,0,4,0,0.0,41.8672,12.6269,2020-10-05 01:00:00,1.0,1,0,1
38911,Autovettura,0,0,4,0,0.0,41.8672,12.6269,2020-10-05 01:00:00,1.0,1,0,1
38912,Autovettura,0,0,5,0,0.0,41.7357,12.2881,2020-10-05 08:30:00,1.0,2,0,1
38913,Autovettura,0,0,5,0,0.0,41.7357,12.2881,2020-10-05 08:30:00,1.0,2,1,1
38914,Autovettura,0,0,5,0,0.0,41.7357,12.2881,2020-10-05 08:30:00,1.0,2,1,1
38915,Autovettura,0,0,5,0,0.0,41.7357,12.2881,2020-10-05 08:30:00,1.0,2,1,1
38916,Autovettura,0,0,5,0,0.0,41.7357,12.2881,2020-10-05 08:30:00,1.0,2,1,1
38917,Autocarro,0,0,2,0,0.0,41.8536,12.5651,2020-10-05 13:10:00,1.0,2,0,1
38918,Autovettura,0,0,2,0,0.0,41.8536,12.5651,2020-10-05 13:10:00,1.0,2,0,1
38919,Autovettura,0,0,3,0,0.0,41.8912,12.5675,2020-10-02 13:40:00,1.0,1,0,1
38895,Motociclo,1,0,2,0,0.0,41.88,12.5167,2020-10-05 08:15:00,2.0,3,0,1
38526,Autovettura,0,0,3,0,0.0,41.8961,12.4766,2020-10-04 09:25:00,1.0,2,1,1
38842,Autovettura,0,0,2,0,0.0,41.9374,12.4271,2020-10-03 19:30:00,1.0,3,1,1
38840,Autovettura,0,0,3,0,0.0,41.9083,12.5356,2020-10-04 02:00:00,3.0,2,1,1
38765,Motociclo,1,0,2,0,0.0,41.9327,12.5869,2020-10-03 12:15:00,1.0,2,0,1
38766,Autovettura,0,0,2,0,0.0,41.8098,12.6266,2020-10-03 10:30:00,1.0,2,0,1
38767,Autovettura,0,0,2,0,0.0,41.8098,12.6266,2020-10-03 10:30:00,1.0,2,0,1
38768,Motociclo,0,0,1,0,0.0,41.9179,12.391,2020-10-04 00:05:00,2.0,1,0,1
38769,Autovettura,1,0,2,0,0.0,41.9314,12.5792,2020-10-04 20:00:00,1.0,2,1,1
38770,Autovettura,1,0,2,0,0.0,41.9314,12.5792,2020-10-04 20:00:00,1.0,2,0,1
38771,Autovettura,1,0,2,0,0.0,41.9314,12.5792,2020-10-04 20:00:00,1.0,2,0,1
38772,Autovettura,0,0,1,0,0.0,41.8437,12.5983,2020-10-03 21:00:00,1.0,1,1,1
38773,Autovettura,0,0,1,0,0.0,41.8437,12.5983,2020-10-03 21:00:00,1.0,1,0,1
38774,Autovettura,0,0,1,0,0.0,42.0365,12.4643,2020-10-04 03:45:00,1.0,1,1,1
38764,Autovettura,1,0,2,0,0.0,41.9327,12.5869,2020-10-03 12:15:00,1.0,2,0,1
38775,Autovettura,0,0,1,0,0.0,42.0365,12.4643,2020-10-04 03:45:00,1.0,1,1,1
38777,Autovettura,0,0,2,0,0.0,41.9541,12.5232,2020-10-04 16:30:00,1.0,2,1,1
38778,Autovettura,0,0,2,0,0.0,41.9541,12.5232,2020-10-04 16:30:00,1.0,2,1,1
38779,Autovettura,1,0,1,0,0.0,41.8652,12.5507,2020-10-03 22:00:00,2.0,1,1,1
38780,Motociclo,1,0,1,0,0.0,41.8652,12.5507,2020-10-03 22:00:00,2.0,1,0,1
38781,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,0,1
38782,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,0,1
38783,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,0,1
38784,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,0,1
38785,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,0,1
38786,Autovettura,1,0,4,0,0.0,41.881,12.5693,2020-10-04 04:00:00,2.0,2,1,1
38776,Autovettura,1,0,0,0,0.0,41.8873,12.5116,2020-10-05 06:00:00,3.0,1,0,1
38763,Autovettura,1,0,2,0,0.0,41.9327,12.5869,2020-10-03 12:15:00,1.0,2,0,1
38762,Autovettura,0,0,3,0,0.0,41.9397,12.4741,2020-10-04 11:20:00,3.0,1,1,1
38761,Autovettura,0,0,3,0,0.0,41.9397,12.4741,2020-10-04 11:20:00,3.0,1,0,1
38738,Autovettura,0,0,3,0,0.0,42.0281,12.4677,2020-10-04 10:45:00,1.0,2,0,1
38739,Autovettura,0,0,3,0,0.0,42.0281,12.4677,2020-10-04 10:45:00,1.0,2,0,1
38740,Autovettura,0,0,3,0,0.0,42.0281,12.4677,2020-10-04 10:45:00,1.0,2,0,1
38741,Autovettura,0,0,3,0,0.0,41.9524,12.4814,2020-10-04 19:50:00,1.0,1,0,1
38742,Autovettura,0,0,3,0,0.0,41.9524,12.4814,2020-10-04 19:50:00,1.0,1,0,1
38743,Autovettura,0,0,3,0,0.0,41.9524,12.4814,2020-10-04 19:50:00,1.0,1,0,1
