Protocollo;Gruppo;DataOraIncidente;Localizzazione1;STRADA1;Localizzazione2;STRADA2;Strada02;Chilometrica;DaSpecificare;NaturaIncidente;particolaritastrade;TipoStrada;FondoStradale;Pavimentazione;Segnaletica;CondizioneAtmosferica;Traffico;Visibilita;Illuminazione;NUM_FERITI;NUM_RISERVATA;NUM_MORTI;NUM_ILLESI;Longitude;Latitude;Confermato;Progressivo;TipoVeicolo;StatoVeicolo;TipoPersona;Sesso;Tipolesione;Deceduto;DecedutoDopo;CinturaCascoUtilizzato;Airbag
5987215;15;01/06/2022 06:20;Comunale extraurbana;VIA DELLA PISANA;da specificare;;;;PROSSIMITA' PALO ACEA 128;Scontro frontale fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;2;0;0;0;12.389;418.577;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;Esploso
5987263;23;01/06/2022 02:40;Statale entro l'abitato;VIA AURELIA;in prossimità;;della chilometrica;11;;Veicolo in marcia contro ostacolo fisso;Curva senza visuale libera;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Scarso;Buona;;1;0;0;0;124.012;418.861;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;Esploso
5987337;10;01/06/2022 09:50;Strada Urbana;VIALE BRUNO RIZZIERI;all'intersezione con;VIALE BRUNO PELIZZI;VIALE BRUNO PELIZZI;;;Scontro laterale fra veicoli in marcia;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;3;125.832;418.523;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
5987337;10;01/06/2022 09:50;Strada Urbana;VIALE BRUNO RIZZIERI;all'intersezione con;VIALE BRUNO PELIZZI;VIALE BRUNO PELIZZI;;;Scontro laterale fra veicoli in marcia;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;3;125.832;418.523;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
5987337;10;01/06/2022 09:50;Strada Urbana;VIALE BRUNO RIZZIERI;all'intersezione con;VIALE BRUNO PELIZZI;VIALE BRUNO PELIZZI;;;Scontro laterale fra veicoli in marcia;Rotatoria;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;3;125.832;418.523;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;;
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;1;Autovettura di polizia;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;Non accertato;Inesploso
5987410;1;01/06/2022 08:05;Strada Urbana;PIAZZA DELL'ESQUILINO;all'intersezione semaforizzata con;VIA CAVOUR;VIA CAVOUR;;;Scontro frontale/laterale DX fra veicoli in marcia;Intersezione semaforizzata;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;9;124.972;418.984;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
5987508;9;01/06/2022 09:00;Strada Urbana;PIAZZA DI S. MARIA AUSILIATRICE;all'intersezione con;VIA UMBERTIDE;VIA UMBERTIDE;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;125.304;418.738;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;Inesploso
5987508;9;01/06/2022 09:00;Strada Urbana;PIAZZA DI S. MARIA AUSILIATRICE;all'intersezione con;VIA UMBERTIDE;VIA UMBERTIDE;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;125.304;418.738;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Non accertato;
5987508;9;01/06/2022 09:00;Strada Urbana;PIAZZA DI S. MARIA AUSILIATRICE;all'intersezione con;VIA UMBERTIDE;VIA UMBERTIDE;;;Scontro laterale fra veicoli in marcia;Incrocio;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;125.304;418.738;-1;3;Autovettura privata;Sosta;;;;;;;
5987527;1;01/06/2022 05:40;Strada Urbana;VIA APPIA ANTICA;in corrispondenza;;del civico n.;1;;Veicolo in marcia che urta buche nella carreggiata;Rettilineo;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;2;125.016;41.873;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
5987527;1;01/06/2022 05:40;Strada Urbana;VIA APPIA ANTICA;in corrispondenza;;del civico n.;1;;Veicolo in marcia che urta buche nella carreggiata;Rettilineo;Una carreggiata a doppio senso;Asciutto;In cubetti di porfido;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;2;125.016;41.873;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;M;Illeso;0;;;
5987559;9;01/06/2022 09:45;Strada Urbana;VIA APPIA NUOVA;da specificare;;;;fronte civico 298;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;2;125.178;418.785;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987559;9;01/06/2022 09:45;Strada Urbana;VIA APPIA NUOVA;da specificare;;;;fronte civico 298;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;2;125.178;418.785;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
5987559;9;01/06/2022 09:45;Strada Urbana;VIA APPIA NUOVA;da specificare;;;;fronte civico 298;Scontro laterale fra veicoli in marcia;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;2;125.178;418.785;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;
5987611;10;01/06/2022 12:15;Strada Urbana;VIALE PALMIRO TOGLIATTI;all'intersezione semaforizzata con;VIA FILOMUSI GUELFI;VIA FILOMUSI GUELFI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;2;125.694;418.624;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Rimandato;0;NON DECEDUTO;Non accertato;Esploso
5987611;10;01/06/2022 12:15;Strada Urbana;VIALE PALMIRO TOGLIATTI;all'intersezione semaforizzata con;VIA FILOMUSI GUELFI;VIA FILOMUSI GUELFI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;2;125.694;418.624;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987611;10;01/06/2022 12:15;Strada Urbana;VIALE PALMIRO TOGLIATTI;all'intersezione semaforizzata con;VIA FILOMUSI GUELFI;VIA FILOMUSI GUELFI;;;Scontro frontale/laterale SX fra veicoli in marcia;Incrocio;Più di due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;2;125.694;418.624;-1;3;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987679;6;01/06/2022 13:30;Strada Urbana;VIALE DELLA VENEZIA GIULIA;all'intersezione semaforizzata con;VIALE DELLA SERENISSIMA;VIALE DELLA SERENISSIMA;;;Veicolo in marcia contro veicolo arresto;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;3;125.587;418.967;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987679;6;01/06/2022 13:30;Strada Urbana;VIALE DELLA VENEZIA GIULIA;all'intersezione semaforizzata con;VIALE DELLA SERENISSIMA;VIALE DELLA SERENISSIMA;;;Veicolo in marcia contro veicolo arresto;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;3;125.587;418.967;-1;1;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
5987679;6;01/06/2022 13:30;Strada Urbana;VIALE DELLA VENEZIA GIULIA;all'intersezione semaforizzata con;VIALE DELLA SERENISSIMA;VIALE DELLA SERENISSIMA;;;Veicolo in marcia contro veicolo arresto;Intersezione semaforizzata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;3;125.587;418.967;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987692;12;01/06/2022 07:55;Strada Urbana;PIAZZALE FERRUCCIO PARRI;da specificare;;;;altezza VIA DI VAL FIORITA ;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;1;124.631;418.374;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Utilizzato;Inesploso
5987692;12;01/06/2022 07:55;Strada Urbana;PIAZZALE FERRUCCIO PARRI;da specificare;;;;altezza VIA DI VAL FIORITA ;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Due carreggiate;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;1;0;0;1;124.631;418.374;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rimandato;0;NON DECEDUTO;Utilizzato;
5987729;18;01/06/2022 09:20;Strada Urbana;VIA DI BOCCEA;all'intersezione con;VIA DI VAL CANNUTA;VIA DI VAL CANNUTA;;;Scontro laterale fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;0;0;0;3;123.847;419.149;-1;1;Autobus di linea;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987729;18;01/06/2022 09:20;Strada Urbana;VIA DI BOCCEA;all'intersezione con;VIA DI VAL CANNUTA;VIA DI VAL CANNUTA;;;Scontro laterale fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;0;0;0;3;123.847;419.149;-1;2;Autovettura privata;In marcia / fermata / arresto;Conducente;M;Illeso;0;;Non accertato;Inesploso
5987729;18;01/06/2022 09:20;Strada Urbana;VIA DI BOCCEA;all'intersezione con;VIA DI VAL CANNUTA;VIA DI VAL CANNUTA;;;Scontro laterale fra veicoli in marcia;Intersezione non regolata/non segnalata;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;0;0;0;3;123.847;419.149;-1;2;Autovettura privata;In marcia / fermata / arresto;Passeggero;F;Illeso;0;;Non accertato;Inesploso
5987761;18;01/06/2022 08:30;Strada Urbana;VIA DEL FORTE BOCCEA;da specificare;;;;FRONTE CIVICO 67;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;124.218;419.062;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Non accertato;
5987761;18;01/06/2022 08:30;Strada Urbana;VIA DEL FORTE BOCCEA;da specificare;;;;FRONTE CIVICO 67;Tamponamento;Rettilineo;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Intenso;Buona;;1;0;0;1;124.218;419.062;-1;2;Motociclo a solo;In marcia / fermata / arresto;Conducente;M;Rifiuta cure immediate;0;NON DECEDUTO;Non accertato;
5987770;10;01/06/2022 14:20;Strada Urbana;CIRCONVALLAZIONE ORIENTALE;all'intersezione con;VIA LUCREZIA ROMANA;VIA LUCREZIA ROMANA;;;Tamponamento;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;2;126.152;418.976;-1;1;Autocarro superiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
5987770;10;01/06/2022 14:20;Strada Urbana;CIRCONVALLAZIONE ORIENTALE;all'intersezione con;VIA LUCREZIA ROMANA;VIA LUCREZIA ROMANA;;;Tamponamento;Incrocio;Una carreggiata a senso unico di marcia;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;0;0;0;2;126.152;418.976;-1;2;Autocarro inferiore 35 q.;In marcia / fermata / arresto;Conducente;M;Illeso;0;;;
5987786;12;01/06/2022 08:00;Strada Urbana;VIALE DELL'OCEANO INDIANO;in prossimità;;del civico n.;39;;Scontro frontale/laterale DX fra veicoli in marcia;Rettilineo;Una carreggiata a doppio senso;Asciutto;Asfaltata;Verticale ed orizzontale;Sereno;Normale;Buona;;2;0;0;3;12.45;418.254;-1;1;Autovettura privata;In marcia / fermata / arresto;Conducente;F;Illeso;0;;Utilizzato;Inesploso
